id;code;name;level;dps;damage_per_hit;hitpoints;build_cost;build_time;experience;required_th;size;min_range;max_range;attack_speed;damage_type;target_type;max_count
1;CN;Canon;1;7;5.6;300;250;5s;2;1;3x3;9;9;0.8s;Single Target;Ground;2
1;CN;Canon;2;10;8;360;1;30s;5;1;3x3;9;9;0.8s;Single Target;Ground;2
1;CN;Canon;3;13;10.4;420;4;2m;10;2;3x3;9;9;0.8s;Single Target;Ground;2
1;CN;Canon;4;17;13.6;500;16;20m;34;3;3x3;9;9;0.8s;Single Target;Ground;2
1;CN;Canon;5;23;18.4;600;50;30m;42;4;3x3;9;9;0.8s;Single Target;Ground;2
1;CN;Canon;6;30;24;660;60;1h;60;5;3x3;9;9;0.8s;Single Target;Ground;3
1;CN;Canon;7;40;32;730;100;2h;84;6;3x3;9;9;0.8s;Single Target;Ground;3
1;CN;Canon;8;48;38.4;800;160;3h;103;7;3x3;9;9;0.8s;Single Target;Ground;5
1;CN;Canon;9;56;44.8;880;250;3h 30m;112;8;3x3;9;9;0.8s;Single Target;Ground;5
1;CN;Canon;10;64;51.2;960;330;4h;120;8;3x3;9;9;0.8s;Single Target;Ground;5
1;CN;Canon;11;74;59.2;1.06;500;4h 30m;127;9;3x3;9;9;0.8s;Single Target;Ground;5
1;CN;Canon;12;85;68;1.16;600;5h;134;10;3x3;9;9;0.8s;Single Target;Ground;6
1;CN;Canon;13;95;76;1.26;660;6h;146;10;3x3;9;9;0.8s;Single Target;Ground;6
1;CN;Canon;14;100;80;1.38;1000000;8h;169;11;3x3;9;9;0.8s;Single Target;Ground;7
1;CN;Canon;15;105;84;1.5;1200000;10h;189;11;3x3;9;9;0.8s;Single Target;Ground;7
1;CN;Canon;16;110;88;1.62;1300000;11h;198;12;3x3;9;9;0.8s;Single Target;Ground;7
1;CN;Canon;17;115;92;1.74;1500000;12h;207;12;3x3;9;9;0.8s;Single Target;Ground;7
1;CN;Canon;18;125;100;1.87;1800000;16h;240;13;3x3;9;9;0.8s;Single Target;Ground;7
1;CN;Canon;19;135;108;2;2000000;20h;268;13;3x3;9;9;0.8s;Single Target;Ground;7
1;CN;Canon;20;150;120;2.15;2600000;1d;293;14;3x3;9;9;0.8s;Single Target;Ground;7
1;CN;Canon;21;160;128;2.25;3000000;1d 12h;360;15;3x3;9;9;0.8s;Single Target;Ground;7
2;AT;Archer Tower;1;11;5.5;380;1.000;15s;3;2;3x3;10;10;0.5s;Single Target;Ground & Air;1
